198.7544 219.3639 178.6572 149.3334 185.4952 150.3937 198.4595
174.0575 183.0850 206.9104 167.0571 148.0058 160.1156 144.1570
176.1454 156.7343 200.5588 174.8716 173.4247 154.5497 181.5367
164.7599 200.6189 148.7100 176.9676 161.2700 149.4210 199.2136
165.7479 192.6457 240.8370 183.1646 200.4036 199.2675 187.2237
164.5468 173.1824 193.7188 141.4115 210.2321 148.6696 172.7138
200.7615 170.8822 185.3985 144.2056 168.1182 191.7445 157.2904
176.5470 154.3960 149.6019 164.6614 145.6269 145.2906 203.9673
198.1711 146.2970 211.6482 190.3536 181.1664 181.7620 143.0210
190.2281 197.4810 177.6420 161.3859 182.4313 127.4862 184.5360
201.6411 164.6994 214.2140 148.9616 187.9678 168.1627 177.0262
157.7565 214.2071 191.8350 192.6436 179.1985 144.6158 162.7100
174.7395 185.2884 151.7976 165.5042 168.5611 170.2320 208.0020
211.4350 180.2361 184.8887 173.2869 175.3798 155.2183 173.4456
163.3642 167.4768
